Week_Ending_Date,Race and Ethnicity,Percent,Denominator,Date Order,Race Sort Order,Figure_ID
09/30/2023 12:00:00 AM,"American Indian / Alaska Native, NH",0,57,1,1,1
09/30/2023 12:00:00 AM,"Asian, NH",0,2897,1,2,1
09/30/2023 12:00:00 AM,"Black, NH",0,1315,1,3,1
09/30/2023 12:00:00 AM,Hispanic/Latino,0,7072,1,4,1
09/30/2023 12:00:00 AM,"Multiple/Other, NH",0,734,1,5,1
09/30/2023 12:00:00 AM,"Native Hawaiian / Pacific Islander, NH",0,121,1,6,1
09/30/2023 12:00:00 AM,Overall,0,19168,1,7,1
09/30/2023 12:00:00 AM,Unknown,0,899,1,8,1
09/30/2023 12:00:00 AM,"White, NH",0,6073,1,9,1
10/07/2023 12:00:00 AM,"American Indian / Alaska Native, NH",0,68,2,1,1
10/07/2023 12:00:00 AM,"Asian, NH",0,3339,2,2,1
10/07/2023 12:00:00 AM,"Black, NH",0,1547,2,3,1
10/07/2023 12:00:00 AM,Hispanic/Latino,0,8149,2,4,1
10/07/2023 12:00:00 AM,"Multiple/Other, NH",0.1,867,2,5,1
10/07/2023 12:00:00 AM,"Native Hawaiian / Pacific Islander, NH",0,139,2,6,1
10/07/2023 12:00:00 AM,Overall,0,22142,2,7,1
10/07/2023 12:00:00 AM,Unknown,0,1072,2,8,1
10/07/2023 12:00:00 AM,"White, NH",0.1,6961,2,9,1
10/14/2023 12:00:00 AM,"American Indian / Alaska Native, NH",0,82,3,1,1
10/14/2023 12:00:00 AM,"Asian, NH",0.1,3806,3,2,1
10/14/2023 12:00:00 AM,"Black, NH",0,1795,3,3,1
10/14/2023 12:00:00 AM,Hispanic/Latino,0,9200,3,4,1
10/14/2023 12:00:00 AM,"Multiple/Other, NH",0.2,995,3,5,1
10/14/2023 12:00:00 AM,"Native Hawaiian / Pacific Islander, NH",0,154,3,6,1
10/14/2023 12:00:00 AM,Overall,0.1,25071,3,7,1
10/14/2023 12:00:00 AM,Unknown,0,1217,3,8,1
10/14/2023 12:00:00 AM,"White, NH",0.3,7822,3,9,1
10/21/2023 12:00:00 AM,"American Indian / Alaska Native, NH",1.1,92,4,1,1
10/21/2023 12:00:00 AM,"Asian, NH",0.2,4274,4,2,1
10/21/2023 12:00:00 AM,"Black, NH",0.1,2060,4,3,1
10/21/2023 12:00:00 AM,Hispanic/Latino,0,10307,4,4,1
10/21/2023 12:00:00 AM,"Multiple/Other, NH",0.4,1128,4,5,1
10/21/2023 12:00:00 AM,"Native Hawaiian / Pacific Islander, NH",0,174,4,6,1
10/21/2023 12:00:00 AM,Overall,0.2,28105,4,7,1
10/21/2023 12:00:00 AM,Unknown,0.1,1365,4,8,1
10/21/2023 12:00:00 AM,"White, NH",0.6,8705,4,9,1
10/28/2023 12:00:00 AM,"American Indian / Alaska Native, NH",0.9,106,5,1,1
10/28/2023 12:00:00 AM,"Asian, NH",0.3,4715,5,2,1
10/28/2023 12:00:00 AM,"Black, NH",0.2,2297,5,3,1
10/28/2023 12:00:00 AM,Hispanic/Latino,0.1,11403,5,4,1
10/28/2023 12:00:00 AM,"Multiple/Other, NH",0.6,1256,5,5,1
10/28/2023 12:00:00 AM,"Native Hawaiian / Pacific Islander, NH",0,193,5,6,1
10/28/2023 12:00:00 AM,Overall,0.5,31080,5,7,1
